April 2023,,,,,,,
SUN,MON,TUES,WED,THURS,FRI,SAT,
,,,,,,1,
,,,,,,"9-1 pm: student2
1-5 pm: student18
5-9 pm:  student22",
2,3,4,5,6,7,8,
"9-1 pm: student14
1-5 pm: student20
5-9 pm:  student13","Lunch 12-1pm: student14



4:30-9pm: student5","Lunch 12-1: student18





4:30-9 pm: student2","Lunch 12-1: student23





4:30-9 pm: student7","Lunch 12-1: student27





4:30-9 pm: student7","Lunch 12-1: student25





4:30-9 pm: student27","9-1 pm: student25
1-5 pm: student24
5-9 pm:  student15",
9,10,11,12,13,14,15,
"9-1 pm: student26
1-5 pm: student17
5-9 pm:  student3","Lunch 12-1pm: student9





4:30-9pm: student21","Lunch 12-1: student27





4:30-9 pm: student4","Lunch 12-1: student1





4:30-9 pm: student25","Lunch 12-1: student3





4:30-9 pm: student1","Lunch 12-1: student21





4:30-9 pm: student27","9-1 pm: student26
1-5 pm: student13
5-9 pm:  student17",
16,17,18,19,20,21,22,
"9-1 pm: student19 
1-5 pm: student22
5-9 pm:  student11","Lunch 12-1pm: student8





4:30-9pm: student28","Lunch 12-1: student28





4:30-9 pm: student12","Lunch 12-1: student17





4:30-9 pm: student28","Lunch 12-1: student5




4:30-9 pm: student3","Lunch 12-1: student6





4:30-9 pm: student17","9-1 pm: student14
1-5 pm: student15
5-9 pm:  student16",
23,24,25,26,27,28,29,
"9-1 pm: student5
1-5 pm: student20
5-9 pm:  student9","Lunch 12-1pm: student10





4:30-9pm: student8","Lunch 12-1: student28





4:30-9 pm: student2","Lunch 12-1: student1





4:30-9 pm: student16","Lunch 12-1: student13





4:30-9 pm: student24","Lunch 12-1: student24





4:30-9 pm: student1","9-1 pm: student10
1-5 pm: student18
5-9 pm:  student28",Sungod-if you have duty on Sungod you don't have to pick up a Sungod Shift
30,N O T E S,,,,,,
"9-1 pm: student6
1-5 pm: student23
5-9 pm:  student9",,,,,,,
,,,,,,,
,,,,,Total Duty Shifts,50,
,,,,,Total Lunch Shifts,20,
