December 2022,,,,,,
SUN,MON,TUES,WED,THURS,FRI,SAT
,,,,1,2,3
,,,,"Lunch 12-1: student26





4:30-9 pm: student28","Lunch 12-1: student20





4:30-9 pm: student25","9-1 pm: student5
1-5 pm: student5
5-9 pm:  student8"
4,5,6,7,8,9,10
"9-1 pm: student2
1-5 pm: student13
5-9 pm:  student22","Lunch 12-1: student13





4:30-9 pm: student28","Lunch 12-1: student25





4:30-9 pm: student12","Lunch 12-1: student6





4:30-9 pm: student15","Lunch 12-1: student10





4:30-9 pm: student11","Lunch 12-1: student20





4:30-9 pm: student16","9am-1pm: student2
1-5pm: student3
5-9pm: student20"
11,12,13,14,15,16,17
,,,,,,
18,19,20,21,22,23,24
,,,,,,
25,26,27,28,29,30,31
,,,,,,
N O T E S,,,,,,
,,,,,,
,,,,,,
,,,,,Total Duty Shifts,16
,,,,,Total Lunch Shifts,7
