January 2023,,,,,,
SUN,MON,TUES,WED,THURS,FRI,SAT
1,2,3,4,5,6,7
,,,,,,"9-1 pm: student5
1-5 pm: student20
5-9 pm:  student19"
8,9,10,11,12,13,14
"9-1 pm: student15
1-5 pm: student27
5-9 pm:  student11","Lunch 12-1: student25





4:30-9 pm: student21","Lunch 12-1: student15





4:30-9 pm: student2","Lunch 12-1: student26





4:30-9 pm: student24","Lunch 12-1: student22





4:30-9 pm: student3","Lunch 12-1: student6





4:30-9 pm: student18","9-1 pm: student25
1-5 pm: student22
5-9 pm:  student6"
15,16,17,18,19,20,21
"9-1 pm: student6
1-5 pm: student8
5-9 pm:  student26",MLK Holiday,"Lunch 12-1: student21





4:30-9 pm: student4","Lunch 12-1: student3





4:30-9 pm: student13","Lunch 12-1: student16





4:30-9 pm: student7","Lunch 12-1: student11





4:30-9 pm: student1","9-1 pm: student14
1-5 pm: student16
5-9 pm:  student23"
22,23,24,25,26,27,28
"9-1 pm: student17
1-5 pm: student12
5-9 pm:  student1","Lunch 12-1: student13





4:30-9 pm: student28","Lunch 12-1: student27





4:30-9 pm: student10","Lunch 12-1: student7





4:30-9 pm: student8","Lunch 12-1: student18





4:30-9 pm: student28","Lunch 12-1: student24





4:30-9 pm: student27","9-1 pm: student26
1-5 pm: student24
5-9 pm:  student9"
29,30,31,N O T E S,,,
"9-1 pm: student23
1-5 pm: student12
5-9 pm:  student13","Lunch 12-1: student14





4:30-9 pm: student9","Lunch 12-1: student12





4:30-9 pm: student18",,,,
,,,,,,
,,,,,Total Duty Shifts,47
,,,,,Total Lunch Shifts,20
