June 2023,,,,,,,
SUN,MON,TUES,WED,THURS,FRI,SAT,
,,,,1,2,3,
,,,,"Lunch 12-1: student9





4:30-9 pm: student2","Lunch 12-1: student19





4:30-9 pm: student14","9-1 pm: student14
1-5 pm: student23
5-9 pm:  student3",
4,5,6,7,8,9,10,
"9-1 pm: student20
1-5 pm: student22
5-9 pm:  student13","Lunch 12-1pm: student8





4:30-9pm: student4","Lunch 12-1: student23





4:30-9 pm: student1","Lunch 12-1: student26





4:30-9 pm: student6","Lunch 12-1: student3





4:30-9 pm: student8","Lunch 12-1: student19





4:30-9 pm: student12","9-1 pm: student7
1-5 pm: student9
5-9 pm:  student23",
11,12,13,14,15,16,17,
"9-1 pm: student6
1-5 pm: student19
5-9 pm:  student10","Lunch 12-1pm: student20





4:30-9pm: student9","Lunch 12-1: student6





4:30-9 pm: student23","Lunch 12-1: student2





4:30-9 pm: student1","Lunch 12-1: student13





4:30-9 pm: student21","Lunch 12-1: student13





4:30-9 pm: student27","Commencement 


9-1 pm: student21
1-5 pm: student21
5-9 pm:  student11",Graduating HAs work up until the 16th
N O T E S,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Total Duty Shifts,27,
,,,,,Total Lunch Shifts,12,
