1,,,,,,
SUN,MON,TUES,WED,THURS,FRI,SAT
,,1,2,3,4,5
,,"Lunch 12-1: student12





4:30-9 pm: student14","Lunch 12-1: student15





4:30-9 pm: student1","Lunch 12-1: student12





4:30-9 pm: student3","Lunch 12-1: student5





4:30-9 pm: student18","9-1 pm: student26
1-5 pm: student9
5-9 pm:  student1"
6,7,8,9,10,11,12
"9-1 pm: student6
1-5 pm: student8
5-9 pm:  student11","Lunch 12-1: student14





4:30-9 pm: student20","Lunch 12-1: student11





4:30-9 pm: student28","Lunch 12-1: student28





4:30-9 pm: student4","Lunch 12-1: student23





4:30-9 pm: student12",Veteran's Day Holiday,"9-1 pm: student16
1-5 pm: student17
5-9 pm:  student19"
13,14,15,16,17,18,19
"9-1 pm: student23
1-5 pm: student5
5-9 pm:  student19","Lunch 12-1: student26





4:30-9 pm: student2","Lunch 12-1: student19





4:30-9 pm: student10","Lunch 12-1: student4





4:30-9 pm: student7","Lunch 12-1: student9





4:30-9 pm: student13","Lunch 12-1: student22





4:30-9 pm: student17","9-1 pm: student25
1-5 pm: student24
5-9 pm:  student24"
20,21,22,23,24,25,26
"9-1 pm: student22
1-5 pm: student3
5-9 pm:  student7","Lunch 12-1: student3





4:30-9 pm: student15","Lunch 12-1: student7





4:30-9 pm: student15","Lunch 12-1: student18





4:30-9 pm: student4",Thanksgiving Holiday,Thanksgiving Holiday,"9am-1pm: student18
1-5pm: student20
5-9pm: student10"
27,28,29,30,N O T E S,,
"9am-1pm: student14
1-5pm: student10
5-9pm: student18","Lunch 12-1: student24





4:30-9 pm: student6","Lunch 12-1: student17





4:30-9 pm: student27","Lunch 12-1: student27





4:30-9 pm: student27",,,
,,,,,,
,,,,,Total Duty Shifts,43
,,,,,Total Lunch Shifts,19
