September 2022,,,,,,
SUN,MON,TUES,WED,THURS,FRI,SAT
,,,,1,2,3
,,,,,,
4,5,6,7,8,9,10
,,,,,"





4:30-9 pm: student18","9-1 pm: student25
1-5 pm: student24
5-9 pm:  student24"
11,12,13,14,15,16,17
"9-1 pm: student12
1-5 pm: student12
5-9 pm:  student18","





4:30-9 pm: student2","





4:30-9 pm: student2","





4:30-9 pm: student15","





4:30-9 pm: student26","





4:30-9 pm: student10","9-1 pm: student7
1-5 pm: student27
5-9 pm:  student9"
18,19,20,21,22,23,24
"9-1 pm: student14
1-5 pm: student5
5-9 pm:  student9","Lunch 12-1: student8





4:30-9 pm: student17","Lunch 12-1: student19





4:30-9 pm: student4","Lunch 12-1: student20





4:30-9 pm: student2","Lunch 12-1: student12


Instruction Begins


4:30-9 pm: student3","Lunch 12-1: student26





4:30-9 pm: student6","9-1 pm: student16
1-5 pm: student23
5-9 pm:  student6"
25,26,27,28,29,30,N O T E S
"9-1 pm: student22
1-5 pm: student19
5-9 pm:  student11","Lunch 12-1: student9





4:30-9 pm: student1","Lunch 12-1: student11





4:30-9 pm: student8","Lunch 12-1: student14





4:30-9 pm: student20","Lunch 12-1: student15





4:30-9 pm: student28","Lunch 12-1: student1





4:30-9 pm: student20",
,,,,,,
,,,,,Total Duty Shifts,35
,,,,,Total Lunch Shifts,10
